stage,Endothelial,Epithelial,Germ,Neuron,Other,Secretory
24hpf,0,0,0,1,0,0
72hpf,0,0,0,0.28,0,0
3Month,0,0.94,0.1,0,0,0
22Month,0.14,1.37,0.14,0,0.14,0.14
