stage,Epithelial,Germ,Neuron,Secretory,Stromal
72hpf,0,0,11.84,0,0.28
21Day,0,0,7.03,0,0
3Month,0.1,0.1,0,0,0
22Month,1.64,0,0.14,0.14,0
