stage,Endothelial,Epithelial,Immune,Neuron,Other,Stromal
24hpf,0,0,6,2,0,1
72hpf,0.28,0,0.56,0.56,0,0
21Day,0,0,2.22,1.11,0,0
3Month,0,0.1,0.21,0,0,0
22Month,0,0,0.27,0,0.14,0
