stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Stromal
72hpf,0,0,0,0,0.56,0,0
21Day,0,0.37,0,0.74,0,0,0.37
3Month,0.73,0,0.21,0.1,0,0,0
22Month,1.37,0,0.55,0.41,0,0.41,0.27
