stage,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Secretory,Stromal
24hpf,3,0,0,0,0,0,0,0
72hpf,8.46,0,0,0,0,0,0,0.28
21Day,5.55,0,0,0,0,0,0.37,0
3Month,6.97,0,0.1,0.21,0.21,0,0.1,0.1
22Month,44.96,0.14,0,1.09,0.27,5.06,0.27,0.41
