stage,Epithelial,Erythroid,Germ,Neuron,Stromal
24hpf,4,0,0,2,0
72hpf,0.56,0,0,5.07,5.07
21Day,0.74,0.37,0.37,4.81,2.22
3Month,0.31,0,0.31,0,0
