stage,Epithelial,Germ,Immune,Muscle,Neuron,Secretory
24hpf,0,0,0,0,1,0
72hpf,0.85,0.28,0,0,0.28,0
21Day,1.85,0.37,0,0,0.37,0.37
3Month,1.35,15.08,0.52,0.1,0,0.21
