stage,Epithelial,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,1,0,0,0
72hpf,0.28,0,0,0,0,0.28
21Day,0,0,0,0.74,0,0
3Month,0.73,0.21,0.1,0,0,0
22Month,2.73,1.09,0,0.14,0.14,0.27
