stage,Epithelial,Erythroid,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,4,0,0,0
72hpf,0.28,0.28,0.28,5.36,0,0,0.28
21Day,0.74,0,0,4.44,0,0.74,0
22Month,2.19,0,0,0,0.14,0.14,0
