stage,Epithelial,Immune,Neuron,Other,Secretory,Stromal
24hpf,1,1,0,0,0,0
72hpf,1.97,0.28,0,0,0,0
21Day,2.96,1.85,0.74,0,0,0
3Month,1.66,0.94,0,0,0.1,0
22Month,5.06,2.73,0,0.14,0,0.14
