stage,Epithelial,Germ,Muscle,Neuron,Stromal
72hpf,0,0,0,1.13,0
21Day,0.37,0,0,0.37,0
3Month,0.31,0.1,0,0.31,0
22Month,0.55,0,0.14,0.27,0.14
