stage,Epithelial,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,1,0,2,0,1
72hpf,0,0,0,1.13,0,1.13
21Day,1.48,0,0.37,0.37,0.37,0.37
22Month,0.27,0.14,0,0,0,0
