stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Secretory,Stromal
72hpf,0,0.56,0,0,0,0,0,0
21Day,0,0.37,0.37,0,0.37,0.37,0,0.37
3Month,0.1,19.87,0,0.31,0.94,0.42,0.21,0.42
22Month,0,22.14,0,0.14,0.41,0.27,0.14,0
