stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Stromal
24hpf,2,0,0,0,1,0,0
72hpf,0,0,0,0,0.28,0,0.28
21Day,1.85,0.37,0,0,6.29,0,0.37
3Month,0.42,0,0,0.1,0.1,0,0.1
22Month,5.33,0,0.68,0.96,0.55,0.27,0.27
