stage,Endothelial,Epithelial,Muscle,Neuron,Stromal
24hpf,0,1,0,3,1
72hpf,0.28,0.85,0.28,2.82,0.56
21Day,0,1.85,0.37,0,1.11
3Month,0,0.21,0,0,0
