stage,Endothelial,Epithelial,Germ,Neuron,Stromal
24hpf,0,0,0,1,1
72hpf,0,0.28,0,0.85,0.56
21Day,0,0,0,0.74,0
3Month,0.1,1.04,0.1,0,0.1
22Month,0,0.96,0.27,0,0.14
