stage,Epithelial,Erythroid,Muscle,Neuron,Secretory,Stromal
24hpf,1,0,0,18,0,2
72hpf,1.69,0,0.28,23.96,0,0.28
21Day,2.22,0.37,1.48,13.69,0.37,4.44
3Month,0,0,0.1,0,0,0.1
