stage,Epithelial,Muscle,Neuron,Secretory,Stromal
24hpf,1,0,0,0,0
72hpf,0.28,0,0.28,0,0
21Day,0,0,1.11,0,0
3Month,0.1,0.1,0.52,0.1,0.1
