stage,Epithelial,Erythroid,Immune,Neuron,Stromal
24hpf,0,0,0,1,0
72hpf,0,0,0,1.13,0
21Day,0,0.37,0,0.37,0.74
3Month,0.42,0,0.1,0,0.1
