stage,Endothelial,Epithelial,Germ,Immune,Muscle,Other,Stromal
21Day,0,0.37,0,0,0,0,0.74
3Month,0.1,0.73,0.1,5.3,0.21,0,0.21
22Month,0.14,0.82,0,5.06,0,0.14,0.14
