stage,Epithelial,Germ,Muscle,Secretory,Stromal
24hpf,1,0,0,0,1
72hpf,1.13,0,0,0,0
3Month,0.31,11.96,0.1,0.1,0.1
22Month,0,0.14,0,0,0
