stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Secretory
24hpf,0,1,0,0,0,0
72hpf,0,14.37,0,0,0.56,0
21Day,0,16.65,0.74,0,0.74,0.37
3Month,0.42,2.5,0,0.21,0,0
