stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Stromal
21Day,0,0.37,0,0,0,0,0
3Month,0,5.72,0.1,0,0.62,0.1,0
22Month,0.27,8.47,0.14,0.14,0.96,0,0.14
