stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,2,5,0,0,1,0,53,0,0,14
72hpf,0,2.25,0,0,0.28,0.56,9.02,0.56,0.28,3.66
21Day,0,3.33,3.7,0,2.22,2.22,11.1,0,0.37,11.47
3Month,0.1,8.22,0,2.18,1.25,0.1,0.31,0,0.31,3.02
22Month,0.68,11.62,0.14,0.14,0.96,0.14,0.41,0.27,0,2.05
