stage,Epithelial,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,1,0,0
72hpf,0,0,0.56,13.25,0,0
21Day,0,0,0,6.29,0,0.37
22Month,0.55,0.41,0,0,0.14,0
