stage,Epithelial,Erythroid,Immune,Neuron,Stromal
24hpf,0,0,0,3,0
72hpf,0,0.28,0,2.82,0
21Day,1.48,0,2.96,1.48,0
3Month,0.21,0,0,0,0.21
