stage,Epithelial,Germ,Neuron,Secretory,Stromal
72hpf,0,0,0.85,0,0.28
21Day,0.37,0,0,0.74,0.37
3Month,0.42,0,0,0.1,0.1
22Month,0.68,0.14,0,0,0
