stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Secretory
24hpf,0,0,0,0,0,1,0
72hpf,0.28,0,0,0,8.74,0.28,0
21Day,0,0,0.37,0,1.48,0.74,0
3Month,0,2.39,3.43,0,0.21,0.31,0.1
22Month,0,1.23,6.15,0.55,0.14,0,0
