stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,0,4,0,0,1
72hpf,0.28,0.56,0,0,0.56,30.72,0,0,1.13
21Day,0,0.37,0.74,0,0,12.95,0,0.37,0.37
3Month,0,1.87,0,0.83,1.35,1.04,0,0.62,0.31
22Month,0,2.73,0,0.68,0.14,0,0.14,0.68,0
