stage,Epithelial,Erythroid,Immune,Neuron,Other,Stromal
24hpf,1,0,0,1,0,0
72hpf,0,0,0,0.28,0,0
21Day,2.22,0,19.24,2.22,0,1.85
3Month,0,0.1,0.1,0,0,0
22Month,1.09,0,0.27,0.14,0.27,0
