stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,0,1,0,1
72hpf,0,0,0,0,0.85,0,0.56
21Day,0,0,0.37,0,0,0,0
3Month,0,0.52,0,0.1,0.21,0.1,0.21
22Month,0.27,1.09,0,0,0,0,0.14
