stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
72hpf,0.85,0,0,0,0,0.85,0,0,0.28
21Day,9.62,0,0,9.62,0,0.74,0,0.37,2.96
3Month,8.32,0.1,0.83,1.77,0.21,0.31,0,0,0.94
22Month,9.84,0.14,0.41,2.87,0.14,0.27,1.78,0.14,0.55
