stage,Endothelial,Epithelial,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,8,0,0,1
72hpf,0.28,0.85,0,3.66,0,0,1.69
21Day,0,0.74,0.74,2.96,0,0.37,1.11
3Month,0,0.73,0.1,0,0,0,0
22Month,0,0,0.27,0,0.14,0,0
