stage,Epithelial,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,2,0,6,0,0,0
72hpf,0.28,0,0.28,5.64,0,0,0.85
21Day,0,0,0,2.96,0,0.37,0
22Month,0.68,0,0,0.14,0.14,0,0
