stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron
72hpf,0.56,0.85,0,0,0.28,0
21Day,0,1.48,0.74,0,1.85,0
3Month,0.21,0.83,0,0.21,0.83,0.1
