stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Secretory,Stromal
21Day,0,0.37,0,0,0,0.37,0,0,0
3Month,0.1,13.52,0,4.78,0.94,0.1,0,0.1,0.31
22Month,0,3.14,0.14,0.27,0.27,0,0.14,0.14,0
