stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Stromal
24hpf,10,79,2,18,19,506,217,77
72hpf,0,12.97,0.28,0,0.56,5.64,0.56,0.56
3Month,0,0.1,0,0.1,0,0,0,0.1
