stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,0,0,2,0,0
72hpf,0,0.28,0,0,0,0.85,0,0.28
3Month,0,0.21,0.1,2.18,0,0,0,0
22Month,0.68,8.47,34.3,3.83,0.27,0.55,1.5,0.68
