stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Stromal
72hpf,0,0,0,0,0,1.69,0,0.28
21Day,0,0,0,0,0,1.48,0,0
22Month,0.27,0.68,0.14,0.41,0.41,0.41,0.14,0
