stage,Epithelial,Immune,Muscle,Neuron,Stromal
24hpf,2,0,0,0,1
72hpf,4.51,0,0.28,7.05,2.54
21Day,2.96,0.74,0,3.33,4.81
3Month,0.52,0,0,0,0
22Month,0.27,0,0,0,0
