stage,Endothelial,Epithelial,Immune,Neuron,Other
72hpf,0,0,0,0.85,0
21Day,0,0.37,0,1.48,0
3Month,0,0.1,0.1,0.1,0
22Month,0.14,1.09,0.14,0,0.14
