stage,Endothelial,Epithelial,Germ,Immune,Neuron,Other
24hpf,0,0,0,0,1,0
72hpf,0,0.28,0,0,0.28,0
3Month,0.1,1.46,0.1,0.1,0.1,0
22Month,0,3.96,0,0.82,0.14,0.68
