stage,Epithelial,Erythroid,Immune,Muscle,Other,Secretory,Stromal
21Day,0.37,0,0.37,0,0,0,0
3Month,2.08,0,0.42,1.35,0,0,0
22Month,0.82,0.14,0.82,0.14,0.14,0.14,0.27
