stage,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Secretory,Stromal
72hpf,0.85,0,0,0,0,0,0,0
21Day,2.22,0.37,0,0,0,0,0,0
3Month,3.22,0.1,0.21,0.1,0.1,0,0.1,0
22Month,6.83,0,0,0.68,0,0.14,0,0.14
