stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,0,2,0,1
72hpf,0.56,1.13,0.28,0,14.37,0,0.28
21Day,0,1.85,0,0.37,9.62,0.37,2.59
