stage,Epithelial,Germ,Muscle,Neuron,Other,Secretory
24hpf,0,0,0,0,1,0
72hpf,0,0,0.28,0.56,0,0.28
21Day,0,0,1.11,0.74,0,0
22Month,0.68,0.14,0,0,0.14,0
