stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Stromal
24hpf,2,70,2,0,7,10,178,8,30
72hpf,0,18.6,0.56,0.28,0,1.13,27.06,0,1.97
21Day,0,2.22,0.37,1.11,0,0,8.14,0,1.85
22Month,0.14,3.14,0,8.61,0.55,0,0,0,0.14
