stage,Epithelial,Muscle,Neuron,Secretory,Stromal
24hpf,2,0,16,0,1
72hpf,2.25,0.28,7.89,0,0.28
21Day,0.74,0,2.59,0.37,0
3Month,0.42,0,0,0,0
22Month,0.41,0,0,0,0
