stage,Endothelial,Epithelial,Muscle,Neuron,Stromal
72hpf,0,0,0,0.28,0.28
21Day,0.74,0,0.74,0,0.74
3Month,0.21,0.42,0,0,0
22Month,0,0.41,0,0,0
