stage,Epithelial,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,3,0
72hpf,0,0,0,1.97,0
21Day,0.37,0,0.37,0.74,0
3Month,0.83,0.1,0,0.21,0.31
22Month,0.41,0,0,0,0
