stage,Endothelial,Epithelial,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,1,0,0
72hpf,0.28,0.56,0.56,25.08,0,0.85
21Day,0,2.22,0,11.1,0.37,0.37
