stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory
21Day,0,0.74,0,0.37,0,0.37,0,1.48
3Month,0,0.21,0,0,1.35,0,0,0.1
22Month,0.14,0.55,0.27,0.27,0,0,0.14,0.14
