stage,Endothelial,Epithelial,Erythroid,Germ,Neuron,Stromal
24hpf,1,2,1,0,23,2
72hpf,0,0.85,0,0,1.97,1.69
21Day,0,0,0.37,0,0,0.37
3Month,0,0,0,0.1,0,0
22Month,0,0,0,2.46,0,0
