stage,Endothelial,Epithelial,Germ,Immune,Neuron,Other,Secretory,Stromal
21Day,0,0,0,0,0,0,0.37,0
3Month,0,2.08,0,0.31,0,0,0,0.1
22Month,0.14,4.92,0.14,1.09,0.27,0.27,0,0.55
