stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,2,1,1,0
72hpf,0,0.85,0,0,0,0.85,0.56
21Day,0,0,0,0.37,0,0.37,1.11
3Month,0.1,0,0.1,0.52,0,0,0
