stage,Epithelial,Erythroid,Immune,Neuron,Stromal
24hpf,0,0,0,5,1
72hpf,0.56,0,0,0.85,0.56
21Day,0,0.37,0.37,0,1.11
22Month,0.14,0,0.27,0,0
