stage,Epithelial,Erythroid,Germ,Immune,Other,Secretory,Stromal
24hpf,1,0,0,0,0,0,0
72hpf,3.66,0,0,0,0,0,0
21Day,2.59,0.37,0,0,0,0,0
3Month,0.94,0,0.83,0.1,0,0.1,0.21
22Month,0.68,0,0,0,0.14,0,0
