stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other
24hpf,0,0,0,0,0,6,1
72hpf,0.56,0,0,0,0,2.25,0
21Day,0.37,0.37,0,0,0.37,1.48,0
3Month,1.04,0,14.15,0.1,0,0,0
22Month,0.14,0,0.14,0,0,0,0
