stage,Epithelial,Germ,Neuron,Other,Stromal
24hpf,0,0,0,1,0
72hpf,0.56,0,1.13,0,0
21Day,1.11,0,3.33,0,0.37
22Month,0.27,0.27,0,0,0.27
