stage,Epithelial,Germ,Immune,Muscle,Other,Secretory,Stromal
21Day,6.66,0,0.37,0,0,0.37,0
3Month,13.83,0.52,2.5,0.31,0,0,0
22Month,2.19,0.14,0.82,0,0.14,0,0.14
