stage,Endothelial,Epithelial,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,7,0,0
72hpf,0.28,0,0.56,2.54,0.28,1.13
21Day,0,0,0,1.48,0,2.96
22Month,0,0.68,0,0,0,0
