stage,Epithelial,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,1,0,0
72hpf,0.28,0,0,0.56,0,0
21Day,0,0,0.37,0,0,0.37
22Month,3.96,2.32,0,0,0.14,0
