stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,3,0,0,0,2
72hpf,0.85,0,0,1.13,0.85,0,0,6.2
21Day,0.37,1.48,0,2.96,0.74,0,0.37,5.92
3Month,0.42,0.52,0.21,0.94,0,0.1,0,0.73
22Month,0,0,0,0,0,0.55,0,0
