stage,Endothelial,Epithelial,Germ,Immune,Neuron,Other,Stromal
24hpf,0,0,0,1,0,0,1
72hpf,0,0.85,0,0,1.41,0,0
21Day,0.37,0.74,0,0.74,0.74,0,0.37
3Month,0.42,6.03,1.66,1.77,0.1,0,1.46
22Month,0.14,2.73,0.14,0.41,0,0.27,0.41
